Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435552.628126,11057,1642435552,626280125,,9320.0,8388.0,8660.0,9148.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.637942,11058,1642435552,636213354,,9292.0,8348.0,8632.0,9200.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6475403,11059,1642435552,646236062,,9272.0,8372.0,8640.0,9216.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6578221,11060,1642435552,656209031,,9272.0,8368.0,8652.0,9160.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6682303,11061,1642435552,666295125,,9280.0,8312.0,8644.0,9220.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6785767,11062,1642435552,676195906,,9300.0,8320.0,8640.0,9180.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6893876,11063,1642435552,686423198,,9296.0,8352.0,8664.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.6998084,11064,1642435552,696275645,,9304.0,8340.0,8636.0,9212.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.70787,11065,1642435552,706176270,,9308.0,8352.0,8636.0,9228.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.7176418,11066,1642435552,716184708,,9324.0,8348.0,8644.0,9196.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.72755,11067,1642435552,726227677,,9284.0,8332.0,8700.0,9216.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.7375832,11068,1642435552,736233979,,9276.0,8380.0,8672.0,9196.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.747879,11069,1642435552,746215437,,9300.0,8340.0,8660.0,9168.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435552.7586787,11070,1642435552,756403979,,9308.0,8344.0,8676.0,9232.0,0.0,0.0,"(0.0, 0.0)",False,False
